GRUPO_EDITORIAL_COMPLETO,TIPO_AGENTE,PAIS,ANO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2019,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2019,890 - LITERATURAS DE OTRAS LENGUAS,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2020,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2020,820 - LITERATURA INGLESA E INGLESA ANTIGUA,9.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2020,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2021,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2021,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2021,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2021,840 - LITERATURA DE LAS LENGUAS ROMANCES,8.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2021,890 - LITERATURAS DE OTRAS LENGUAS,1.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2023,800 - LITERATURA Y RETÓRICA: GENERAL,13.0
AGENCIA PROMOTORA DE PUBLICACIONES,EDITORIAL COMERCIAL,MÉXICO,2024,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AGHARTA EDICIONES SPA,EDITORIAL COMERCIAL,CHILE,2024,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
AGIR EDITORA LTDA,EDITORIAL COMERCIAL,BRASIL,2020,810 - LITERATURA AMERICANA EN INGLÉS,1.0
AGORA MEDIOS,EDITORIAL COMERCIAL,MÉXICO,2018,800 - LITERATURA Y RETÓRICA: GENERAL,4.0
AGORA MEDIOS,EDITORIAL COMERCIAL,MÉXICO,2022,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
AGUILAR CARRILLO RICARDO MIGUEL,EDITORIAL COMERCIAL,MÉXICO,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,5.0
AGUILAR CARRILLO RICARDO MIGUEL,EDITORIAL COMERCIAL,MÉXICO,2014,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,4.0
AGUILAR CHILENA DE EDICIONES S.A.,EDITORIAL COMERCIAL,CHILE,2012,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AGUILAR CHILENA DE EDICIONES S.A.,EDITORIAL COMERCIAL,CHILE,2012,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
AGUILAR CHILENA DE EDICIONES S.A.,EDITORIAL COMERCIAL,CHILE,2012,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
AGUILAR CHILENA DE EDICIONES S.A.,EDITORIAL COMERCIAL,CHILE,2012,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
AGUILAR CHILENA DE EDICIONES S.A.,EDITORIAL COMERCIAL,CHILE,2013,800 - LITERATURA Y RETÓRICA: GENERAL,8.0
AGUILAR CHILENA DE EDICIONES S.A.,EDITORIAL COMERCIAL,CHILE,2013,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
AGUILAR CHILENA DE EDICIONES S.A.,EDITORIAL COMERCIAL,CHILE,2014,820 - LITERATURA INGLESA E INGLESA ANTIGUA,4.0
"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",EDITORIAL COMERCIAL,ARGENTINA,2012,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",EDITORIAL COMERCIAL,ARGENTINA,2012,840 - LITERATURA DE LAS LENGUAS ROMANCES,2.0
"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",EDITORIAL COMERCIAL,ARGENTINA,2012,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,5.0
"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",EDITORIAL COMERCIAL,ARGENTINA,2013,810 - LITERATURA AMERICANA EN INGLÉS,2.0
"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",EDITORIAL COMERCIAL,ARGENTINA,2013,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",EDITORIAL COMERCIAL,ARGENTINA,2013,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",EDITORIAL COMERCIAL,ARGENTINA,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,11.0
"AGUILAR, ALTEA, TAURUS, ALFAGUARA S.A. DE EDIC.",EDITORIAL COMERCIAL,ARGENTINA,2013,890 - LITERATURAS DE OTRAS LENGUAS,1.0
"AGUIRRE, MARIA BELEN",EDITORIAL COMERCIAL,ARGENTINA,2013,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
AHOM EDUCACAO LTDA,EDITORIAL COMERCIAL,BRASIL,2014,080 - COLECCIONES GENERALES,3.0
AI TRANI EDITORES,EDITORIAL COMERCIAL,MÉXICO,2015,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
AI TRANI EDITORES,EDITORIAL COMERCIAL,MÉXICO,2016,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AI TRANI EDITORES,EDITORIAL COMERCIAL,MÉXICO,2017,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
AIQUE GRUPO EDITOR,EDITORIAL COMERCIAL,ARGENTINA,2012,810 - LITERATURA AMERICANA EN INGLÉS,1.0
AIQUE GRUPO EDITOR,EDITORIAL COMERCIAL,ARGENTINA,2012,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
